month_year,price_prod,values
2011-09-17,price,3.62375
2011-10-17,price,3.454
2011-11-17,price,3.3845
2011-12-17,price,3.277
2012-01-17,price,3.3876
2012-02-17,price,3.5755
2012-03-17,price,3.82725
2012-04-17,price,3.8934
2012-05-17,price,3.6975
2012-06-17,price,3.51525
2012-07-17,price,3.4334
2012-08-17,price,3.724
2012-09-17,price,3.8585
2012-10-17,price,3.7144
2012-11-17,price,3.444
2012-12-17,price,3.3218
2013-01-17,price,3.32375
2013-02-17,price,3.66825
2013-03-17,price,3.713
2013-04-17,price,3.5664
2013-05-17,price,3.621
2013-06-17,price,3.63425
2013-07-17,price,3.5818
2013-08-17,price,3.58325
2013-09-17,price,3.542
2013-10-17,price,3.3575
2013-11-17,price,3.26325
2013-12-17,price,3.2878
2014-01-17,price,3.331
2014-02-17,price,3.382
2014-03-17,price,3.5456
2014-04-17,price,3.66475
2014-05-17,price,3.678
2014-06-17,price,3.6994
2014-07-17,price,3.6145
2014-08-17,price,3.50125
2014-09-17,price,3.431
2014-10-17,price,3.2015
2014-11-17,price,2.95675
2014-12-17,price,2.575
2015-01-17,price,2.13575
2015-02-17,price,2.23525
2015-03-17,price,2.4332
2015-04-17,price,2.4535
2015-05-17,price,2.66075
2015-06-17,price,2.7826
2015-07-17,price,2.7495
2015-08-17,price,2.6084
2015-09-17,price,2.3685
2015-10-17,price,2.32475
2015-11-17,price,2.188
2015-12-17,price,2.05175
2016-01-17,price,1.94925
2016-02-17,price,1.7882
2016-03-17,price,1.99625
2016-04-17,price,2.12925
2016-05-17,price,2.303
2016-06-17,price,2.405
2016-07-17,price,2.263
2016-08-17,price,2.2258
2016-09-17,price,2.26975
2016-10-17,price,2.2974
2016-11-17,price,2.21875
2016-12-17,price,2.304
2017-01-17,price,2.3956
2017-02-17,price,2.33875
2017-03-17,price,2.35475
2017-04-17,price,2.452
2017-05-17,price,2.4154
2017-06-17,price,2.37025
2017-07-17,price,2.3262
2017-08-17,price,2.412
2017-09-17,price,2.68925
2017-10-17,price,2.5484
2017-11-17,price,2.59025
2017-12-17,price,2.50675
2018-01-17,price,2.5852
1994-11-17,field_production,198850
1994-12-17,field_production,209550
1995-01-17,field_production,207148
1995-02-17,field_production,190245
1995-03-17,field_production,204613
1995-04-17,field_production,198111
1995-05-17,field_production,205509
1995-06-17,field_production,197359
1995-07-17,field_production,199912
1995-08-17,field_production,199846
1995-09-17,field_production,192484
1995-10-17,field_production,199055
1995-11-17,field_production,197559
1995-12-17,field_production,202428
1996-01-17,field_production,201354
1996-02-17,field_production,190727
1996-03-17,field_production,203715
1996-04-17,field_production,193317
1996-05-17,field_production,198208
1996-06-17,field_production,193746
1996-07-17,field_production,196471
1996-08-17,field_production,197162
1996-09-17,field_production,194456
1996-10-17,field_production,200907
1996-11-17,field_production,194268
1996-12-17,field_production,201685
1997-01-17,field_production,198466
1997-02-17,field_production,182400
1997-03-17,field_production,200013
1997-04-17,field_production,193239
1997-05-17,field_production,200702
1997-06-17,field_production,193252
1997-07-17,field_production,198691
1997-08-17,field_production,196769
1997-09-17,field_production,194575
1997-10-17,field_production,200482
1997-11-17,field_production,193778
1997-12-17,field_production,202464
1998-01-17,field_production,202756
1998-02-17,field_production,181321
1998-03-17,field_production,198639
1998-04-17,field_production,194483
1998-05-17,field_production,196754
1998-06-17,field_production,188018
1998-07-17,field_production,192026
1998-08-17,field_production,192282
1998-09-17,field_production,173676
1998-10-17,field_production,190420
1998-11-17,field_production,184198
1998-12-17,field_production,187347
1999-01-17,field_production,184864
1999-02-17,field_production,167034
